Alameda,May 2022,7646
Alpine,May 2022,*
Amador,May 2022,177
Butte,May 2022,1578
Calaveras,May 2022,239
Colusa,May 2022,117
Contra Costa,May 2022,3464
Del Norte,May 2022,228
El Dorado,May 2022,727
Fresno,May 2022,7828
Glenn,May 2022,125
Humboldt,May 2022,1292
Imperial,May 2022,1635
Inyo,May 2022,83
Kern,May 2022,8757
Kings,May 2022,1085
Lake,May 2022,561
Lassen,May 2022,176
Los Angeles,May 2022,64213
Madera,May 2022,902
Marin,May 2022,550
Mariposa,May 2022,95
Mendocino,May 2022,670
Merced,May 2022,
Modoc,May 2022,73
Mono,May 2022,63
Monterey,May 2022,2104
Napa,May 2022,
Nevada,May 2022,455
Orange,May 2022,16048
Placer,May 2022,967
Plumas,May 2022,112
Riverside,May 2022,16758
Sacramento,May 2022,11164
San Benito,May 2022,245
San Bernardino,May 2022,16751
San Diego,May 2022,17841
San Francisco,May 2022,3792
San Joaquin,May 2022,4332
San Luis Obispo,May 2022,1042
San Mateo,May 2022,1924
Santa Barbara,May 2022,2181
Santa Clara,May 2022,4784
Santa Cruz,May 2022,994
Shasta,May 2022,1568
Sierra,May 2022,*
Siskiyou,May 2022,327
Solano,May 2022,2183
Sonoma,May 2022,1704
Stanislaus,May 2022,3779
Sutter,May 2022,588
Tehama,May 2022,520
Trinity,May 2022,101
Tulare,May 2022,3437
Tuolumne,May 2022,
Ventura,May 2022,3233
Yolo,May 2022,1280
Yuba,May 2022,625
Alameda,Jun 2022,9006
Alpine,Jun 2022,*
Amador,Jun 2022,188
Butte,Jun 2022,1762
Calaveras,Jun 2022,264
Colusa,Jun 2022,129
Contra Costa,Jun 2022,3618
Del Norte,Jun 2022,197
El Dorado,Jun 2022,775
Fresno,Jun 2022,8520
Glenn,Jun 2022,127
Humboldt,Jun 2022,1355
Imperial,Jun 2022,1924
Inyo,Jun 2022,110
Kern,Jun 2022,8288
Kings,Jun 2022,1237
Lake,Jun 2022,653
Lassen,Jun 2022,148
Los Angeles,Jun 2022,69604
Madera,Jun 2022,1074
Marin,Jun 2022,641
Mariposa,Jun 2022,117
Mendocino,Jun 2022,741
Merced,Jun 2022,2493
Modoc,Jun 2022,65
Mono,Jun 2022,45
Monterey,Jun 2022,2290
Napa,Jun 2022,
Nevada,Jun 2022,500
Orange,Jun 2022,17334
Placer,Jun 2022,1040
Plumas,Jun 2022,105
Riverside,Jun 2022,19332
Sacramento,Jun 2022,12027
San Benito,Jun 2022,298
San Bernardino,Jun 2022,18560
San Diego,Jun 2022,19817
San Francisco,Jun 2022,4078
San Joaquin,Jun 2022,5127
San Luis Obispo,Jun 2022,1233
San Mateo,Jun 2022,1989
Santa Barbara,Jun 2022,2295
Santa Clara,Jun 2022,5314
Santa Cruz,Jun 2022,1019
Shasta,Jun 2022,1633
Sierra,Jun 2022,*
Siskiyou,Jun 2022,310
Solano,Jun 2022,2329
Sonoma,Jun 2022,1864
Stanislaus,Jun 2022,4600
Sutter,Jun 2022,636
Tehama,Jun 2022,522
Trinity,Jun 2022,123
Tulare,Jun 2022,3615
Tuolumne,Jun 2022,
Ventura,Jun 2022,3617
Yolo,Jun 2022,1685
Yuba,Jun 2022,673
Alameda,Jul 2022,8713
Alpine,Jul 2022,*
Amador,Jul 2022,206
Butte,Jul 2022,1843
Calaveras,Jul 2022,251
Colusa,Jul 2022,118
Contra Costa,Jul 2022,3829
Del Norte,Jul 2022,188
El Dorado,Jul 2022,691
Fresno,Jul 2022,8317
Glenn,Jul 2022,181
Humboldt,Jul 2022,1384
Imperial,Jul 2022,1769
Inyo,Jul 2022,100
Kern,Jul 2022,7506
Kings,Jul 2022,1175
Lake,Jul 2022,601
Lassen,Jul 2022,173
Los Angeles,Jul 2022,70881
Madera,Jul 2022,1047
Marin,Jul 2022,638
Mariposa,Jul 2022,106
Mendocino,Jul 2022,727
Merced,Jul 2022,2423
Modoc,Jul 2022,58
Mono,Jul 2022,46
Monterey,Jul 2022,2225
Napa,Jul 2022,439
Nevada,Jul 2022,440
Orange,Jul 2022,14676
Placer,Jul 2022,1101
Plumas,Jul 2022,137
