Metric,Linear Regression,Random Forest
Train R²,0.9644989270313973,0.9978072486100269
Test R²,0.966417711379185,0.978213696287883
Train MAE,932.0986320278433,149.72396495781962
Test MAE,1020.873299315175,537.1624352331606
Train RMSE,1717.6513446889655,426.88310971744676
Test RMSE,1914.5775219220172,1542.0895269481978
CV R²,0.8648033435485178,0.7738657577432781
